emergency,building_class,building_class_code,building_function,building_function_code,cityfurniture_class,cityfurniture_class_code,cityfurniture_function,cityfurniture_function_code,transportationcomplex_class,transportationcomplex_class_code,transportationcomplex_function,transportationcomplex_function_code,waterbody_class,waterbody_class_code,waterbody_function,waterbody_function_code,waterbody_usage,waterbody_usage_code
fire_hydrant,,,,,security,1020,hydrant,1330,,,,,,,,,,
phone,,,,,communication,1010,telephone box,1010,,,,,,,,,,
defibrillator,,,,,,,,,,,,,,,,,,
water_tank,,,,,,,,,,,,,,,,,,
assembly_point,,,,,,,,,,,,,,,,,,
suction_point,,,,,,,,,,,,,,,,,,
ambulance_station,,,,,,,,,,,,,,,,,,
access_point,,,,,,,,,,,,,,,,,,
fire_extinguisher,,,,,,,,,,,,,,,,,,
siren,,,,,,,,,,,,,,,,,,
fire_water_pond,,,,,,,,,,,,,,,,,,
life_ring,,,,,,,,,,,,,,,,,,
landing_site,,,,,,,,,air traffic,1050,landing place,2130,,,,,,
drinking_water,,,,,,,,,,,,,unknown,9999,watering place,1130,drinking water supply,1020
fire_hose,,,,,,,,,,,,,,,,,,
emergency_ward_entrance,,,,,,,,,,,,,,,,,,
lifeguard,,,,,,,,,,,,,,,,,,
lifeguard_tower,,,,,,,,,,,,,,,,,,
dry_riser_inlet,,,,,,,,,,,,,,,,,,
slipway,,,,,,,,,,,,,,,,,,
lifeguard_base,,,,,,,,,,,,,,,,,,
fire_alarm_box,,,,,,,,,,,,,,,,,,
water_rescue_station,,,,,,,,,,,,,,,,,,
first_aid_kit,,,,,,,,,,,,,,,,,,
control_centre,,,,,,,,,,,,,,,,,,
mountain_rescue,,,,,,,,,,,,,,,,,,
fire_detection_system,,,,,security,1020,fire detector,1040,,,,,,,,,,
evacuation_centre,,,,,,,,,,,,,,,,,,
sos_point,,,,,,,,,,,,,,,,,,
lifebuoy,,,,,,,,,,,,,,,,,,
fire_truck,,,,,,,,,,,,,,,,,,
fire_monitor,,,,,,,,,,,,,,,,,,
fire_station,security,1140,fire station,2410,,,,,,,,,,,,,,
key_depot,security,1140,depot,1370,,,,,,,,,,,,,,
water_tower,,,,,,,,,,,,,cistern,1250,unknown,9999,public use,1090
alarm,,,,,,,,,,,,,,,,,,
