railway,building_class,building_class_code,building_function,building_function_code,cityfurniture_class,cityfurniture_class_code,cityfurniture_function,cityfurniture_function_code,transportationcomplex_class,transportationcomplex_class_code,transportationcomplex_function,transportationcomplex_function_code,trafficarea_function,trafficarea_function_code,trafficarea_usage,trafficarea_usage_code
rail,,,,,,,,,rail traffic,1060,rail,1805,rail,8,"train, tram, streetcar","5,8"
level_crossing,,,,,traffic,1000,rail level crossing,1130,,,,,,,,
switch,,,,,,,,,,,,,,,,
abandoned,,,,,,,,,,,,,,,,
signal,,,,,,,,,,,,,,,,
buffer_stop,,,,,,,,,,,,,,,,
crossing,,,,,,,,,,,,,,,,
platform,,,,,,,,,,,,,train platform,19,"train, tram, streetcar","5,8"
disused,,,,,,,,,,,,,,,,
station,traffic,1170,train station,2480,,,,,rail traffic,1060,station,1920,,,,
tram,,,,,,,,,rail traffic,1060,tram,1820,,,,
milestone,,,,,traffic,1000,milestone,1120,,,,,,,,
stop,,,,,,,,,rail traffic,1060,stop,1910,,,,
subway,,,,,,,,,rail traffic,1060,subway,1825,,,,
tram_stop,traffic,1170,train station,2480,,,,,rail traffic,1060,stop,1910,,,,
narrow_gauge,,,,,,,,,,,,,,,,
halt,,,,,,,,,,,,,,,,
subway_entrance,,,,,traffic,1000,entrance shaft,1370,,,,,,,,
light_rail,,,,,traffic,1000,traffic light,1080,rail traffic,1060,city railway,1815,,,,
razed,,,,,,,,,,,,,,,,
construction,,,,,,,,,,,,,,,,
railway_crossing,,,,,traffic,1000,rail level crossing,1130,,,,,,,,
preserved,,,,,,,,,,,,,,,,
miniature,,,,,,,,,,,,,,,,
derail,,,,,,,,,,,,,,,,
proposed,,,,,,,,,,,,,,,,
facility,,,,,,,,,,,,,,,,
signal_box,traffic,1170,signal control box,1500,,,,,,,,,,,,
junction,,,,,,,,,rail traffic,1060,junction,1110,,,,
dismantled,,,,,,,,,,,,,,,,
monorail,,,,,,,,,rail traffic,1060,rail,1805,rail,8,"train, tram, streetcar","5,8"
phone,,,,,,,,,,,,,,,,
turntable,,,,,,,,,,,,,,,,
platform_edge,,,,,,,,,,,,,,,,
tram_crossing,,,,,traffic,1000,rail level crossing,1130,,,,,,,,
yard,,,,1560,,,,,,,,,,,,
radio,,,,,,,,,,,,,,,,
funicular,,,,,,,,,,,,,,,,
tram_level_crossing,,,,,traffic,1000,rail level crossing,1130,,,,,,,,
vacancy_detection,,,,,,,,,,,,,,,,
technical_station,,,,,,,,,,,,,,,,
site,,,,,,,,,,,,,,,,
train_station_entrance,,,,,traffic,1000,entrance shaft,1370,,,,,,,,
ventilation_shaft,,,,,,,,,,,,,,,,
