tourism,building_class,building_class_code,building_function,building_function_code,cityfurniture_class,cityfurniture_class_code,cityfurniture_function,cityfurniture_function_code
information,habitation,1000,tourist information centre ,2650,,,,
hotel,habitation,1000,hotel,1210,,,,
viewpoint,,,,,,,,
guest_house,habitation,1000,holiday house,1100,,,,
artwork,,,,,,,,
picnic_site,,,,,,,,
camp_site,recreation,1050,campsite building,1230,,,,
museum,culture,1070,museum,2160,,,,
hostel,habitation,1000,hostel,1020,,,,
chalet,habitation,1000,bothy,2640,,,,
apartment,habitation,1000,residential building,1000,,,,
motel,habitation,1000,hotel,1210,,,,
caravan_site,,,,,,,,
camp_pitch,,,,,,,,
alpine_hut,habitation,1000,alpine cabin,1910,,,,
wilderness_hut,habitation,1000,bothy,2640,,,,
theme_park,recreation,1050,recreational site,1260,,,,
gallery,culture,1070,building for cultural purposes ,2120,,,,
zoo,recreation,1050,zoo building,2610,,,,
trail_riding_station,,,,,,,,
aquarium,recreation,1050,recreational site,1260,,,,
resort,recreation,1050,hotel,1210,,,,
wine_cellar,,,,,,,,
bed_and_breakfast,,,,,,,,
lean_to,,,,,,,,
cabin,habitation,1000,bothy,2640,,,,
disused_camp_site,,,,,,,,
guest_house;apartment,habitation,1000,holiday house,1100,,,,
winery,,,,,,,,
picnic_table,,,,,,,,
apartments,habitation,1000,residential building,1000,,,,
hunting_lodge,recreation,1050,hunting lodge,1920,,,,
hut,habitation,1000,bothy,2640,,,,
register,,,,,,,,
sign,,,,,traffic,1000,road sign,1070
spa_resort,recreation,1050,hotel,1210,,,,
hanami,,,,,,,,
monument,,,,,others,1030,memorial/monument,1450
